# IRS Statistics of Income, Individual Complete Report (Publication 1304),
# Table 3.5, Returns with Modified Taxable Income: Tax Generated, by Size of
# Adjusted Gross Income and by Tax Rate.  Tax years 2022 and 2023.
# https://www.irs.gov/pub/irs-soi/22in35tr.xls
# https://www.irs.gov/pub/irs-soi/23in35tr.xls
# Money amounts are thousands of dollars, as published.
# statutory_rate is the preferential capital-gains rate the income was taxed
# at; niit_rate is 3.8 percent where the AGI class lies at or above the
# section 1411 threshold of $200,000 and zero below it.
# Regenerate with: python scripts/build_capital_gains_data.py
tax_year,agi_class,agi_lower,agi_upper,statutory_rate,niit_rate,returns,income_taxed_at_rate_thousands,tax_generated_thousands
2023,"$4,000 under $6,000",4000.0,6000.0,0.0,0.0,28265,24227.0,0.0
2023,"$6,000 under $8,000",6000.0,8000.0,0.0,0.0,19655,34075.0,0.0
2023,"$8,000 under $10,000",8000.0,10000.0,0.0,0.0,15620,17746.0,0.0
2023,"$10,000 under $12,000",10000.0,12000.0,0.0,0.0,11087,13524.0,0.0
2023,"$12,000 under $14,000",12000.0,14000.0,0.0,0.0,20747,7739.0,0.0
2023,"$14,000 under $16,000",14000.0,16000.0,0.0,0.0,102294,62534.0,0.0
2023,"$16,000 under $18,000",16000.0,18000.0,0.0,0.0,177490,192738.0,0.0
2023,"$18,000 under $20,000",18000.0,20000.0,0.0,0.0,162130,309881.0,0.0
2023,"$20,000 under $25,000",20000.0,25000.0,0.0,0.0,420015,1008652.0,0.0
2023,"$25,000 under $30,000",25000.0,30000.0,0.0,0.0,406759,1128942.0,0.0
2023,"$30,000 under $40,000",30000.0,40000.0,0.0,0.0,1143710,3582869.0,0.0
2023,"$40,000 under $50,000",40000.0,50000.0,0.0,0.0,1187648,4605114.0,0.0
2023,"$50,000 under $75,000",50000.0,75000.0,0.0,0.0,2349087,12537151.0,0.0
2023,"$50,000 under $75,000",50000.0,75000.0,0.15,0.0,1152944,2917477.0,437659.0
2023,"$75,000 under $100,000",75000.0,100000.0,0.0,0.0,1725991,12219179.0,0.0
2023,"$75,000 under $100,000",75000.0,100000.0,0.15,0.0,1776154,9016823.0,1352559.0
2023,"$100,000 under $200,000",100000.0,200000.0,0.0,0.0,2251238,31029628.0,0.0
