Size of adjusted gross income,"Number
of
"$5,000 under $10,000",8077917,77285,13067,33392,1617,0,0,12215,3798,5439,1152,16617,4603,0,0,6307,2375,6521,112,0,0,0,0,0,0,6506,106,0,0,0,0,0,0,3172528,4700537,2911399,3616462,827080,690644,248994,224369,133817,104378,3968,7378,2992,13159,0,0,0,0,0,0,0,0,141213,42411,0,0,141213,42411,1603070,1494583,1421484,1431131,7039,742,3024,578,9055,1319,6050,56,0,0,76933,19163,2992,850,7887,3665,162,123,4545,1384,975870,633096,894175,550747,41989,31561,38677,22570,1263982,893746,5485930,2776226,5399292,2262991,4762351,1579503,741605,636377,35660,44025,88080,177403,22785,28935,2430,1138,19410,292991,2627267,4066788,2388501,3065278,792195,659083,239067,201583,3321680,-4664743,6039891,6716987,6004158,6634475,41836,82512,1052365,779419,151146,8818,,
"$10,000 under $15,000",8986005,765037,68929,32393,3386,4996,59,110601,7614,114545,7703,152041,25575,5014,540,0,0,9145,1359,0,0,0,0,0,0,7997,1290,0,0,0,0,0,0,4550107,13119786,4197059,9711593,1853924,2780661,397521,351966,200636,180866,3974,15772,4966,13088,354384,21451,348160,20926,0,0,0,0,640711,88480,0,0,641689,88533,2379601,3348693,2080057,3233871,14384,1604,8064,4334,21440,5937,18093,3207,0,0,118196,32657,3350,3432,11344,3810,190,225,4039,1657,1830024,2098914,1722341,1941326,67041,92692,28464,15113,1624753,1310849,6366905,5410272,6236312,4495484,5437714,3246402,1016226,1160446,37413,66717,130210,672784,26356,67989,1123,423,29840,25894,3973075,10999421,3683962,7749341,1797174,2687821,383018,336839,5192707,-13034963,7425703,16087354,7381862,15917445,61751,169909,882199,1025384,357980,24850,, 
"$15,000 under $20,000",8702094,2390278,565730,92865,8442,26004,5840,448825,151563,480175,107255,527824,166945,6066,1368,16124,4833,22708,2282,2314,525,0,0,0,0,19384,650,0,0,0,0,0,0,4177676,19324286,3645644,14110784,2349077,4523783,461139,413326,250471,197477,2976,14751,4966,23450,932207,116900,817085,84976,0,0,14101,1011,4028010,1317320,0,0,4028011,1317468,2292882,4043037,1938498,3885101,18097,4566,9039,4950,25136,7680,16193,3732,0,0,137988,35421,13888,11452,8994,3031,41,303,7339,7262,1467454,2608131,1337550,2443196,59707,107806,39083,19416,4398990,2716830,6535571,7704354,6411624,6679268,5574222,5010996,1170593,1624067,37849,28393,129603,409339,20360,49257,5064,4684,25897,405317,3310898,16599254,2886503,11582612,2300531,4415977,434988,392898,7585709,-17923962,7316528,22878322,7287330,22786794,42508,91528,1091490,1323317,329360,30275,,
"$20,000 under $25,000",7925999,3098358,1133333,124277,13832,147513,39959,493696,314643,900553,186378,1417162,456426,12472,9177,26672,14842,12806,7690,4748,2740,0,0,0,0,0,0,0,0,4975,3464,0,0,2957292,16844533,2356562,11587813,2053211,4553036,401769,352603,261231,199762,11958,80844,8960,71491,233801,89424,47221,15119,0,0,31213,5965,4176659,3257177,0,0,4176659,3257177,1671522,3011338,1194862,2822805,8031,2388,0,0,10031,4224,26160,12649,0,0,185911,62375,16930,11558,6322,3060,2628,956,4728,5567,793659,1575086,672406,1370447,74835,131455,22594,11874,4464614,4676965,6539716,9983294,6430382,8970321,5655072,7232288,1184163,1701214,34532,30323,125130,635114,26237,62980,3272,514,30588,131263,2689647,15180023,2273895,10202247,2002082,4421580,371389,334763,7033827,-13512768,6573010,21982280,6535130,21831645,56638,150635,1157597,1531165,289534,32985,,
"$25,000 under $30,000",7594157,3606029,2057806,132671,24367,142486,70043,502724,465138,1390742,262268,1701759,1016279,35001,39296,17400,12137,17070,22246,9067,13223,0,0,0,0,0,0,2992,2057,0,0,0,0,2517288,13390482,1929137,8641592,1796907,4119381,376229,325355,236197,198020,0,0,5278,41874,363784,145604,113730,43562,3308,1681,109658,25280,4416066,5552001,3236,768,4418022,5552159,1411941,2553028,905306,2298732,11071,3562,3024,3660,14094,7221,19641,3664,0,0,167657,66403,9938,3582,7690,3508,358,730,9385,4202,535322,1123584,432187,943026,94610,134459,28511,13695,4665091,6959245,6649618,12774145,6536117,11636116,5818986,9750604,1124661,1818366,35674,43529,133989,872667,29939,92185,1189,2152,19265,74975,2291994,12121294,1860075,7655004,1745282,3983241,330795,286380,6827714,-7714263,6262776,19465867,6226190,19188267,57939,277600,1178983,1562243,283000,31731,,
"$30,000 under $40,000",15210266,7609121,7550836,387441,85978,441709,279796,924203,960171,3043125,685689,4312634,4511942,98090,134206,86451,58640,52106,77701,19606,35735,206,303,4031,3557,0,0,0,0,11227,17641,6011,4942,4843876,20341338,3878810,12049204,3492124,7203378,633107,521737,347522,358901,10982,88528,10006,60358,1077317,754615,507540,381664,5288,4906,337170,205664,10192082,19427980,0,0,10192082,19428590,2598877,4705930,1457324,4026396,5026,1086,4035,598,9061,1685,41250,10225,0,0,387017,165394,16972,12059,25139,10393,4987,4650,21125,8359,852885,1681070,689458,1270998,238736,309789,49043,29633,10507231,22406497,13945425,35857690,13756770,34146133,12352088,29431356,2314600,4481138,64586,147649,312670,1333146,53880,149544,124,984,24588,25426,4230401,17905653,3605529,10396542,3377825,6888683,419314,286440,14670679,-199419,12043668,35091099,11953044,34739327,116395,351772,3007049,3813511,618527,68706,,
"$40,000 under $50,000",13519034,5403353,9093190,406713,72643,390567,229436,787608,907236,1649831,389944,3884254,6276258,119993,238894,171885,135080,57691,132882,12035,23962,3717,5541,3008,4705,0,0,2998,2109,18854,49641,6014,8572,3503247,10173536,2742346,4703778,2099225,4582029,493028,414474,256553,321195,5986,56803,4994,45823,1292590,699904,869377,347518,12162,20296,274383,191214,10574219,29591551,0,0,10574219,29591551,2148884,4276194,1142558,3392389,7604,3840,4031,4091,11636,7931,48766,21889,0,0,385611,184389,11959,8514,23138,9428,3468,2081,24243,20668,597571,1070242,469694,550430,227398,404320,32284,20888,10825203,32734480,12820040,46236806,12644837,44291308,11326021,38535114,2305739,5560975,64563,97527,328953,1662991,44548,191401,5687,5820,17211,27946,2494416,8403389,2083832,3805830,1954250,4157412,237740,202372,13293842,20062114,10262786,26281600,10174486,25823945,125903,457655,3173698,4463246,736762,82395,,
"$50,000 under $75,000",24135884,9890777,20255104,1210649,338477,753270,454480,1277630,1546428,2241029,395650,6925280,15203354,263473,755732,348242,297935,145578,476177,38064,109109,4188,9640,6157,8790,0,0,0,0,52305,242901,30412,53566,3035555,6390036,968304,908384,2075811,4149679,754906,667602,281673,430556,4294,50198,5286,70383,925382,770363,148029,43928,26626,64731,525396,404997,21494289,96758151,2559,1302,21494289,96759453,4015774,9786806,2319856,7403136,5019,1428,18972,11253,13042,3596,75709,57547,0,0,829258,669172,10284,46289,66306,30773,6741,26451,48610,22039,622825,917986,224835,169428,456066,577764,54263,36720,21865924,105483502,23313836,131311641,22937827,125403023,20062069,106636096,5278531,17870112,147225,633371,947873,5178761,155844,540900,9658,5221,40789,94246,2002736,4701687,730210,695028,1811415,3507184,265136,225886,23837054,91023023,17376685,43854387,17122578,42811011,355876,1043376,6636940,13613551,2064864,258035,,
"$75,000 under $100,000",15775468,6713621,17487047,1317941,453108,622241,386094,857135,1009597,0,0,4827839,12854599,241199,1167919,366540,340067,135038,636476,36299,100882,6449,46232,10310,49023,0,0,0,0,55308,351936,14009,38070,1068631,1615540,0,0,471957,902771,529231,453261,111825,197280,0,0,498,1391,602239,604550,0,0,23045,67378,473171,375675,15064744,114196479,0,0,15065384,114197559,2779008,8149219,1670467,6011530,3992,1073,0,0,7982,5284,61957,34553,0,0,642960,729760,6419,44611,51954,23605,10554,6929,45559,22740,190190,275287,0,0,156847,207620,32737,19833,15223481,121978507,15438129,139902652,15145735,131449961,12833605,107208787,4524264,22733061,119239,1174464,1099520,7549888,164615,819105,5181,3043,16511,41285,411752,735703,0,0,361307,627773,62557,57753,15611650,113114029,10135958,32970052,9855364,31423763,372058,1546289,5565494,14613191,1986128,277756,,
"$100,000 under $200,000",27602755,14416050,43512480,3656771,1951999,1868423,1188471,1781288,2185101,0,0,10463640,30031323,466295,3472607,985995,904234,403198,2300122,100897,466114,18255,82397,22310,177491,0,0,51280,24645,203759,1464915,26403,45892,1500496,1930096,0,0,226948,599890,1195325,1061503,87458,195535,1639,5119,0,0,1303912,1375531,0,0,42252,136300,1161492,1019935,27208705,409472473,0,0,27211633,409532689,5907956,21056918,3542845,16476082,5159,1192,0,0,9990,5284,158471,80681,2477,44293,1400218,2191056,28119,83344,139367,64877,499775,131422,82383,65655,74593,119399,0,0,57439,90637,14672,10442,27299335,430358260,27175986,451773423,26514379,409806513,22659758,335614807,9049213,72391118,514158,1121144,3096632,37137944,502823,4131586,405055,455413,36463,179642,177065,435167,0,0,154490,372953,30614,31127,27445823,408930553,16126982,70673339,15267253,63928161,1115095,6745178,11387118,49806380,4530001,910338,,
