Size of adjusted gross income,"Number
of
returns",Tax credits,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,"Income
tax after
"$100,000 under $200,000",25547389.0,13297139,37234175,3407899,1347388,1769423,1146511,1714480,2120157,0,0,9750859,28071801,921114,1896490,214164,927853,75057,226875,17182,70065,4018,11148,0,0,5938,46314,30518,12559,67830,504095,22801,37752,1382667,1723974,0,0,153573,412474,1131422,1004302,64828,108818,4337,7378,2323,4217,1382667,1723974,0,0,153573,412474,1131422,1004302,25543182,397720446,0,0,25547389,397758377,5525652,19979873,3447771,16007742,6828,361,11014,4516,12893,1882,170817,60357,0,0,1224927,1909459,26076,107393,153163,71411,420871,121237,108565,59711,0,0,0,0,0,0,0,0,25547389,417667421,25196413,436086763,24587008,393341078,21231228,324868188,8014996,65887887,451695,1306239,2963598,37222095,448630,3595874,614188,725061,40980,1156840,0,0,0,0,0,0,0,0,25547389,397758377,14875879,65158905,14030913,57808000,1170108,7350905,10616718,47515051,4101763,664711,,
"$200,000 under $500,000",9992304.0,6388456,20478245,2769785,3807633,953062,586529,0,0,0,0,4213968,12356389,444333,1833577,297582,1740662,139433,828372,46332,306724,3445,15698,0,0,3485,25477,38618,16641,74550,551290,1608,2709,79068,168347,0,0,65990,139259,0,0,4848,16237,787,699,584,841,79068,168347,0,0,65990,139259,0,0,9975881,478105230,7016296,40953718,9992304,483056987,6127497,21051146,1913463,14442445,3111,2713,0,0,7857,5696,60428,67758,3668,18927,523144,1562109,50809,288876,42077,21264,4754955,3829244,54097,61624,0,0,0,0,0,0,0,0,9992304,504086869,9866514,491075735,9431282,391451096,8551534,344739895,2860224,42644671,3747536,3474928,2438913,83088320,571526,12864510,1150426,3405181,13193,199450,0,0,0,0,0,0,0,0,9992304,483056987,4685331,51148220,3835557,33361042,1094566,17787178,5272391,65121460,2479075,938927,,
"$500,000 under $1,000,000",1672148.0,928213,5780196,764622,3992265,139031,81337,0,0,0,0,0,0,59482,334034,135286,1354779,83376,865216,22922,289128,0,0,0,0,0,0,10874,5293,35234,268477,184,154,5193,2888,0,0,283,432,0,0,0,0,235,690,488,1250,5193,2888,0,0,283,432,0,0,1667357,254284854,0,0,1672148,260282198,1316747,10275063,456459,5715940,0,0,0,0,0,0,9888,9617,0,0,63041,220461,35012,267521,4650,7236,1183459,3904367,10227,20487,0,0,0,0,0,0,0,0,1672148,270555528,1648005,257179639,1510572,159427010,1400785,147821906,362802,8052094,1050557,3497202,796776,79069649,280013,17415052,215553,1159780,7000,24761,0,0,0,0,0,0,0,0,1672148,260282198,711609,27788183,390146,11546518,388934,16241664,952895,41793357,612245,627890,,
"$1,000,000 or more",803922.0,544070,26685614,483426,20445125,37605,24301,0,0,0,0,0,0,22256,224212,144079,5987333,121133,5069024,14515,672714,5,65,0,0,829,8435,4169,2160,0,0,0,0,5813,4108,0,0,0,0,0,0,14,26,43,242,0,0,5813,4108,0,0,0,0,0,0,801712,691706129,0,0,803922,721716433,632282,16512934,287514,8078527,20,186,720,1826,731,2011,4300,4666,4831,287097,22907,102426,36936,540514,0,0,558857,7161624,8269,287236,0,0,0,0,0,0,0,0,803922,738221184,793696,761109242,681596,235752060,637464,223990876,156654,4703687,467030,6786648,568845,357443145,278971,167152090,92719,526465,0,0,0,0,0,0,0,0,0,0,803922,721716433,436121,107485383,149251,22009466,331304,85475918,363678,85868732,300757,1261499,,
"Nontaxable returns, total",50696531.0,18204175,33552862,488806,2848857,1654073,1010903,2889751,2735621,4082003,985404,13025147,20208787,743622,3023181,274973,959599,68066,306870,8618,49222,47217,225502,49666,4054,22236,65405,3073,1971,55369,249446,19731,35047,30357217,108294684,22967984,59766094,17722287,33997471,3379464,3097965,1556532,1897481,421650,3201492,402098,3617497,2737696,1780510,1750750,605188,158072,327529,461691,218892,0,0,4200,719,0,0,12145914,20672856,10045752,19179971,41358,9079,27056,17345,67871,26386,100899,42655,251,8511,920723,415838,65418,101273,103492,48953,34539,48895,42561,23914,8913792,12296521,7086706,8848310,1643128,2291289,382011,207332,5654571,8008242,33967478,61592885,33061670,48759437,29394834,40882876,5280544,7309675,198267,418709,957152,8577847,146179,1144810,23649,28942,326471,2766610,27444265,94217653,20524486,50312596,16745784,31378653,3173881,2671742,30611735,-106861996,40155428,153078035,39880193,149308658,427219,3769377,4191222,5467885,984113,79257,,
* Estimate should be used with caution due to the small number of sample returns on which it is based.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
** Data combined to prevent disclosure of specific taxpayer information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[1] Includes District of Columbia first-time homebuyers credit, credit to holder of tax credit bonds, Form 8978 partners additional
reporting section 6226 tax credit, qualified electric vehicle credit, and other nonrefundable credits not shown separately.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2] Refundable credits includes only the portion that is refundable and the part used to offset other taxes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE: Detail may not add to totals because of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: IRS, Statistics of Income Division, Publication 1304, October 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
