"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Filing Status, Tax Year 2023 (Filing Year 2024)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$20,000 under $25,000",7925999,178000708,163015,4502727,7762984,136191708,6497546,44409930,4176659,3257177,4176659,3257177,1064449,24054045,18844,752294,1045605,30041824,0,0,1100,3039,1100,3039,139298,3155514,7151,97424,132147,1848329,139292,1185388,109495,87150,109495,87150,1756702,39389107,11755,384785,1744947,36288575,1449521,2903058,22780,3990,22780,3990,4965549,111402042,125265,3268225,4840285,68012980,4908732,40321484,4045457,3164924,4045457,3164924,,
"$25,000 under $30,000",7594157,208919443,152148,3831829,7442009,131912852,6777157,74527042,4416066,5552001,4418022,5552159,1160886,32000054,14870,597554,1146016,32815061,376173,431179,87489,10554,87489,10629,211574,5823733,7057,91831,204516,2840220,210545,2821514,157559,210549,159515,210632,1597637,44001859,5879,160992,1591758,33108698,1594623,10547637,100368,30704,100368,30704,4624061,127093798,124342,2981452,4499719,63148873,4595816,60726711,4070650,5300194,4070650,5300194,,
"$30,000 under $40,000",15210266,531782365,467178,12968914,14742089,263440856,15062592,254422728,10192082,19427980,10192082,19428590,2415380,84603088,60929,2357060,2354451,67400606,2325505,14683432,1090282,565256,1090282,565256,441152,15489464,30686,696592,409468,5715179,437105,9172113,355873,740563,355873,741173,3343374,116846018,48067,1440691,3295307,68574332,3335073,46521592,382679,323596,382679,323596,9010360,314843796,327496,8474570,8682864,121750740,8964908,184045592,8363248,17798565,8363248,17798565,,
"$40,000 under $50,000",13519034,606242938,533458,15696759,12985576,234405649,13461232,354420708,10574219,29591551,10574219,29591551,2486715,111865816,89987,3626685,2396728,68285917,2468259,39142968,1311188,1755476,1311188,1755476,501915,22537925,30202,480142,471714,6590862,501606,15300492,458217,1425460,458217,1425460,2647840,118408842,67200,2334323,2580640,53716852,2638432,62225406,1109608,1352477,1109608,1352477,7882564,353430356,346070,9255609,7536494,105812016,7852935,237751841,7695207,25058137,7695207,25058137,,
"$50,000 under $75,000",24135884,1485510450,1685240,47417056,22450644,431487796,24070379,999886179,21494289,96758151,21494289,96759453,6572624,411425881,237304,9909324,6335320,179958793,6553368,218086452,4861508,13769147,4861508,13769390,947989,58193423,101800,1917729,846189,11832540,947967,44052161,913209,4864897,913209,4865956,3793554,230959906,194923,6268234,3598631,74885051,3790058,149106982,3070131,8208069,3070131,8208069,12821718,784931240,1151213,29321770,11670505,164811412,12778986,588640585,12649441,69916038,12649441,69916038,,
"$75,000 under $100,000",15775468,1366616429,1956139,57644011,13819324,300224599,15745421,1001462741,15064744,114196479,15065384,114197559,6968907,609689823,365000,15208557,6603907,187367021,6959355,402348359,6410273,32557848,6410582,32558482,473947,40951476,80376,1598932,393566,5497490,473945,33614039,466665,4854989,466695,4854998,1786539,153443158,228890,7156539,1557649,32421123,1783227,113270307,1700121,9885921,1700422,9885990,6546075,562531972,1281873,33679983,5264203,74938965,6528894,452230036,6487685,66897721,6487685,66898089,,
"$100,000 under $200,000",27602755,3818295141,4873950,164208788,22728190,569314011,27577373,3055400942,27208705,409472473,27211633,409532689,18900024,2663826803,2058953,85205108,16841070,477805205,18885854,2078900939,18583445,244281331,18584092,244283974,558588,74719775,149361,3238960,408614,5721055,558579,64983152,548121,11119320,549122,11172288,1651852,217289253,488456,15630903,1163397,24246212,1651828,175665396,1626081,24862440,1626383,24863689,6492290,862459311,2177180,60133817,4315110,61541539,6481112,735851455,6451058,129209383,6452036,129212737,,
"$200,000 under $500,000",10955818,3153877437,3404313,148023663,7551477,199835251,10951041,2760658561,10916814,507817738,10930853,513407398,8960113,2589059617,2482363,113117313,6477746,183098113,8957941,2253276860,8934776,395707244,8942458,399401453,123766,36510186,58735,1844890,65015,912752,123672,33274757,119328,7095958,121788,7251992,330844,92765328,149941,6099567,180902,3777373,330664,81814540,327629,17868847,328345,18045847,1541095,435542306,713275,26961893,827814,12047013,1538763,392292404,1535081,87145689,1538261,88708106,,
"$500,000 under $1,000,000",1779720,1194934962,923935,59736379,855350,22766979,1777823,1091841478,1773247,267531097,1777679,273875800,1503008,1010661523,759986,47432030,742880,21032877,1502191,925049817,1499084,222822179,1502048,227627445,23447,15734896,14071,1048752,9084,128228,23362,14292208,22895,3783991,23136,3907643,43777,29190161,25838,1455729,17938,373123,43741,26822758,43159,7265585,43586,7436062,209488,139348382,124040,9799867,85448,1232749,208529,125676696,208109,33659342,208908,34904649,,
"$1,000,000 under $1,500,000",368931,443658405,229991,22750149,138939,3713853,368663,405235774,367694,112468857,368514,115740460,313744,376710822,192484,17935498,121261,3441349,313615,345321826,313001,95388779,313547,97948787,5231,6204305,3786,385330,1444,20401,5209,5609391,5136,1630652,5182,1693669,9103,10948332,6414,679237,2689,56229,9084,9939833,9004,2874486,9057,2951589,40853,49794946,27308,3750085,13545,195874,40755,44364723,40553,12574940,40728,13146414,,
"$1,500,000 under $2,000,000",147290,252903399,99572,13216260,47717,1267121,147148,229968889,146550,66883369,147132,69021581,123390,211785174,82323,10201751,41066,1166267,123346,193227334,123057,56369891,123325,58000745,3156,5480164,2075,292127,1082,15095,3146,5040492,3029,1394478,3137,1457579,3306,5654583,2563,293914,743,15493,3302,5193872,3239,1566181,3288,1610128,17438,29983479,12611,2428467,4826,70267,17354,26507191,17225,7552819,17381,7953129,,
"$2,000,000 under $5,000,000",203230,602653109,148521,32198531,54704,1426947,202960,544711008,202339,162811816,202993,168461033,167059,494585687,122077,24766456,44982,1277548,166888,448478513,166601,134361239,166948,138687217,4802,14439254,3426,995484,1375,19386,4781,12982852,4683,3753307,4785,3920020,5117,15165430,3575,643952,1539,31887,5110,13867162,5040,4155367,5101,4271169,26253,78462738,19444,5792638,6809,98126,26181,69382482,26013,20541904,26161,21582627,,
"$5,000,000 under $10,000,000",49262,336334760,39784,18491620,9477,244616,49212,302584373,49056,90455235,49212,94042477,40052,273208626,32443,14325898,7609,216182,40025,246319894,39942,73831966,40032,76583602,1438,9830892,1177,735745,260,3665,1431,8720247,1414,2540203,1430,2675262,1172,8019269,925,368211,247,5121,1169,7311944,1154,2142773,1167,2216629,6599,45275973,5239,3061766,1360,19648,6586,40232287,6547,11940293,6582,12566984,,
"$10,000,000 or more",30382,907900917,26456,71722296,3923,99232,30341,804246858,30229,220785934,30346,233464129,24120,693269282,21108,51901090,3011,85483,24095,616371855,24035,169364341,24101,178507236,1327,59263454,1175,7338760,150,2108,1324,50235108,1308,13091266,1322,14213691,694,18664730,578,1324819,116,2390,691,16846382,683,4621068,691,4866933,4241,136703451,3595,11157626,646,9251,4231,120793514,4203,33709259,4232,35876268,,
"Taxable returns, total",111572368,14402366694,13678141,614234547,97889096,1962166771,111564470,11625278987,111545062,2108587001,111572368,2147909818,43462977,9227630325,6125770,372201250,37335962,1061967278,43460471,7637070529,43450056,1440881062,43462977,1469795922,3307802,357774115,470257,19522056,2836524,39613319,3307594,294241144,3300850,56642068,3307802,58527000,8403628,796744666,1025531,35943883,7378072,153658787,8403572,600675230,8401698,85162054,8403628,86067424,56397960,4020217587,6056584,186567359,50338539,706927387,56392832,3093292083,56392459,525901817,56397960,533519471,,
No adjusted gross income (includes deficits),2096,-6882431,0,0,0,0,0,0,2094,113851,2096,114270,1140,-4121141,0,0,0,0,0,0,1138,92321,1140,92740,1129,-893260,0,0,0,0,0,0,1129,5569,1129,5569,22,-45347,0,0,0,0,0,0,22,549,22,549,847,-1818959,0,0,0,0,0,0,847,17018,847,17018,,
"$1 under $5,000",120341,382609,2047,5850,117302,214690,120306,162380,120341,15081,120341,15081,0,0,1150,8527,3032,20021,0,0,0,0,0,0,0,0,0,0,123507,1676973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119298,378885,8048,33894,116290,211805,119298,161564,119298,13476,119298,13476,,
"$5,000 under $10,000",141213,1028949,7160,25920,134052,606390,141104,397646,141213,42411,141213,42411,3138,22643,0,0,0,0,4032,17007,3138,450,3138,450,25799,335289,6035,23275,0,0,113997,415312,24821,6227,25799,6280,0,0,0,0,0,0,0,0,0,0,0,0,133059,964541,0,0,131044,591341,133059,359969,133059,39019,133059,39019,,
"$10,000 under $15,000",641689,9086630,6025,33926,634666,8221373,639676,812171,640711,88480,641689,88533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20777,32835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620906,8793106,0,0,615892,7987743,618899,779336,620906,85194,620906,85194,,
"$15,000 under $20,000",4028011,70833555,28978,364731,3999034,56139269,4027993,14056862,4028010,1317320,4028011,1317468,0,0,16,1825,0,0,0,0,0,0,0,0,107968,1905792,5233,74036,0,0,0,0,107968,37490,107968,37638,0,0,0,0,0,0,0,0,0,0,0,0,3917871,68894147,23729,288870,0,0,0,0,3917871,1277904,3917871,1277904,,
"$20,000 under $25,000",4176659,93935906,51722,887556,4124937,58182995,4176584,34355659,4176659,3257177,4176659,3257177,1100,17402,0,0,75,2123,0,0,1100,3039,1100,3039,109495,2477856,5630,77043,103865,1457863,109495,923344,109495,87150,109495,87150,22780,511735,0,0,22780,458903,22780,45645,22780,3990,22780,3990,4045457,90962530,46092,810513,7893507,110957946,7963327,47049708,4045457,3164924,4045457,3164924,,
"$25,000 under $30,000",4418022,121706340,79115,1467556,4338907,62799540,4418022,56798615,4416066,5552001,4418022,5552159,87489,2533838,0,0,87489,2422713,87489,107875,87489,10554,87489,10629,159515,4398800,0,0,156490,2175633,159515,2122294,157559,210549,159515,210632,100368,2801977,0,0,99360,2070682,100368,684116,100368,30704,100368,30704,4070650,111971725,75082,1400079,3995568,56130513,4070650,53884330,4070650,5300194,4070650,5300194,,
"$30,000 under $40,000",10192082,357555176,277697,5878285,9914385,158162722,10192075,191946306,10192082,19427980,10192082,19428590,1090282,38630318,8557,235871,1081725,31668791,1090282,6564132,1090282,565256,1090282,565256,355873,12554881,24623,341836,334275,4668648,355873,7509621,355873,740563,355873,741173,382679,13658536,4009,107111,379678,7948696,382676,5588625,382679,323596,382679,323596,8363248,292711441,244542,5260944,8118707,113876588,8363244,172283927,8363248,17798565,8363248,17798565,,
"$40,000 under $50,000",10574219,475698679,382282,8829291,10191937,169692885,10574210,295164186,10574219,29591551,10574219,29591551,1311188,59180856,34723,1144107,1276465,37139970,1311181,20507295,1311188,1755476,1311188,1755476,458217,20604365,28566,429159,429650,6008494,458217,14004248,458217,1425460,458217,1425460,1109608,50799632,21091,575608,1088518,22660143,1109608,27434038,1109608,1352477,1109608,1352477,7695207,345113826,297903,6680417,7397304,103884279,7695204,233218605,7695207,25058137,7695207,25058137,,
"$50,000 under $75,000",21494289,1328067520,1428649,35224652,20065641,371428401,21494268,915001270,21494289,96758151,21494289,96759453,4861508,307805351,144667,5416735,4716840,135065510,4861490,164907924,4861508,13769147,4861508,13769390,913209,56174267,92553,1675345,820656,11477398,913209,42671071,913209,4864897,913209,4865956,3070131,189470870,126399,3712124,2943733,61274802,3070128,123943895,3070131,8208069,3070131,8208069,12649441,774617033,1065030,24420448,11584411,163610691,12649440,583478379,12649441,69916038,12649441,69916038,,
"$75,000 under $100,000",15065384,1306200302,1817530,48830295,13247853,285125072,15065371,964806605,15064744,114196479,15065384,114197559,6410582,562180964,290613,11257752,6119968,173933471,6410572,372955506,6410273,32557848,6410582,32558482,466695,40311672,75371,1306575,391325,5466456,466695,33297713,466665,4854989,466695,4854998,1700422,146266044,208034,6159872,1492388,31069168,1700419,108448917,1700121,9885921,1700422,9885990,6487685,557441621,1243512,30106096,5244172,74655976,6487685,450104469,6487685,66897721,6487685,66898089,,
"$100,000 under $200,000",27211633,3769472892,4735821,152251358,22475208,562626218,27211619,3024103032,27208705,409472473,27211633,409532689,18584092,2624565407,1962241,78215407,16621851,471680069,18584085,2052869137,18583445,244281331,18584092,244283974,549122,73500170,148118,3185432,400400,5608262,549118,63947161,548121,11119320,549122,11172288,1626383,214189142,476632,15056651,1149751,23962448,1626383,173487060,1626081,24862440,1626383,24863689,6452036,857218173,2148830,55793869,4303206,61375439,6452033,733799674,6451058,129209383,6452036,129212737,,
"$200,000 under $500,000",10930853,3147258883,3394320,145957049,7536529,199479530,10928961,2756213132,10916814,507817738,10930853,513407398,8942458,2584504709,2474037,111514570,6468422,182834450,8942132,2250420197,8934776,395707244,8942458,399401453,121788,35937891,58541,1808161,63244,888591,121775,32758612,119328,7095958,121788,7251992,328345,92096839,149569,6016675,178776,3733441,328326,81262257,327629,17868847,328345,18045847,1538261,434719445,712174,26617643,826087,12023049,1536727,391772067,1535081,87145689,1538261,88708106,,
"$500,000 under $1,000,000",1777679,1193569992,923038,59107882,854214,22742976,1776432,1091013911,1773247,267531097,1777679,273875800,1502048,1010016207,759580,47133626,742329,21017789,1501484,924639661,1499084,222822179,1502048,227627445,23136,15533961,14007,1013509,8841,124900,23089,14124518,22895,3783991,23136,3907643,43586,29062511,25784,1423735,17802,370346,43584,26726313,43159,7265585,43586,7436062,208908,138957312,123667,9537012,85242,1229941,208275,125523420,208109,33659342,208908,34904649,,
"$1,000,000 or more",798197,2534451692,543757,155370197,254432,6744711,797850,2280447209,795868,653405211,798197,680729680,667953,2042293771,450186,117272832,217766,6182371,667724,1844081794,666636,529316215,667953,549727587,15856,94932432,11581,9587685,4271,60102,15834,82434414,15570,22409906,15856,23960222,19304,57932727,14013,2892107,5288,110160,19301,53054364,19120,15359876,19304,15916449,95084,339292761,67977,25617574,27108,392077,94990,300876636,94541,86319214,95084,91125422,,
"Nontaxable returns, total",49029740,883650666,1428116,76610942,45420527,835361659,18371951,319168004,0,0,0,0,11105962,314795619,471000,27413535,10052469,285668107,5243725,144617570,0,0,0,0,832056,9023693,50274,1605892,697171,9700572,327876,7719629,0,0,0,0,13200863,359496357,233288,9077924,12869934,267667683,8245544,121414780,0,0,0,0,23890860,200334998,673553,38513590,21800953,272325297,4554807,45416026,0,0,0,0,,
* Estimate should be used with caution due to the small number of sample returns on which it is based.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
** Data combined to prevent disclosure of specific taxpayer information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE: Detail may not add to totals because of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: IRS, Statistics of Income Division, Publication 1304, March 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
